category,sub_category,crimeaditionalinfo
Online Financial Fraud,Internet Banking Related Fraud,Mere ek relative dilip ji meghwal ka telegram account kisi shiv shukla Mob No    dwara hack kar liya gaya wa  ki raat  baje mujhse kisi emergency mein fasa hone va anya baaton mein uljha kar Google pay no  aur  par  baar  rs transfer karwaye gaye va paise transfer karte hi unka telegram deactivate hua mere pata karne par mere relative dilip ji ne bataya ki aisa anya kai rishtedaaro va dosto ke paas bhi msg gaya va unse paise thagne ki koshish ki gayi hai ukt numbers par call karne par humein kanooni kaarywahi par anjaam bhugtane va humara data public karne ke naam par daraaya va dhamkaaya gaya hai yeh dono no par koi shiv naam ka aadmi hai va usse baat kiye jaane par humse yeh kaha gya hai ki police bhi mera kuch nhi bigaad sakti tumhara paisa ab tumko milne se raha jo chahe kar lo
Any Other Cyber Crime,Other,I have taken loan in loan home and Fast rupee application In play store and I paid the amount back already but they are forcing me to pay more amount i said would not pay any more so they are sending foul words and message to all of contacts in whats appso please help me out urgently sirI hope cyber bureau onlyif your department also not help me i will die only sir please understand and help me immediately sir
Online and Social Media Related Crime,Impersonating Email,"Impersonation Email received from oladapoamidgmailcom to  users in the name of one of our director of the Company Header file attached for your reference please
Also the sender has sent Whats app messages from Whats app No  to some of users by using the DP of the aforesaid director of the Company"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Hi I received a call from unknown number stating you have cash equivalent reward points and gave me one axis bank site by url name wwwaxiscardpointscom and told me to fetch the details and i did the same thinking its genuine site and i was deceited After few minutes i started receiving messages that my account is getting debited I receved  messages back to back One transactiin was done on RELIANCEDIG and other  on flipkart Pleaae help saving me from this fraud and lesson learnt will be very cautios going forward Thanks and regards Shekhar
Online and Social Media Related Crime,Cheating by Impersonation,Sir I am a Student and I did want a job so I was doing struggle Iam paass from first divison PGDT and CITA DITA DDTP but never got any job but I am doing face of our misfortune I had been gone to got of job from me demanded  thousand rupees for worshop job but I has been done  rupees pay but I have only prove of  rupees If meet it me than this will a great help for me I hope you will be do my help Jai hind
Online and Social Media Related Crime,Online Matrimonial Fraud,DEAR SIR MERE SATH FROD KIYA GYA HE MEKO WHATAPP NA VOICE COLLING K JARIYE JISKA WHATAPP NO  HE MEKO ADDAR UPDATE ID DENE K LIYE MERE SE  RUPEY DEBIT KARAYE HE ME EK CSC VLE HU PLE SIR MERI HELP KRE FROD NE COMPNY KA NAME AND LINK httpspagesrazorpaycomplIMCkRJISUfsssview ES QR CODE SE PAYMENT LIYA HE  WEPSITE KI LINK httpscustomermanagementsolutioncomcontactphp YE HE AADAR UPDATE KARNE KI ID DENE KE BAHANE MERE SE  RUPEY QR CODE K JARIYE ME PHONE PAY UPI SE KARAYE HE PLE SIR JI MERI HELP KRE PLE
Online Financial Fraud,UPI Related Frauds,financial fraud    
Online Financial Fraud,UPI Related Frauds,"Dear sir
        Please stop the fraudulent transaction and refund the amount  in source account
 Regards"
Online Financial Fraud,UPI Related Frauds,   PICKRR                                                     
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"FRAUD THROUGH DEBIT CARD
BANK SBI BANK 
ACCOUNT NUMBER 
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT
 ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI Fraud  PHONE PE 		 
BANK  STATE BANK OF INDIA  
ACCOUNT NUMBER  
TOTAL AMOUNT   	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Any Other Cyber Crime,Other,My atm card bolck so I called customer care customer care told me to install the any desk app so I installed it and I lost  rs its customer care facke no is  please recover my ammount and action against above mobile number 
Any Other Cyber Crime,Other,MY NAME IS SANJAY KUMAR CHAUHAN AND MY BALANCE GOT DEDUCTED FROM MY BANK ACCOUNT AUTOMATIC I DONT KNOW HOW THE BALANCE GOT DEDUCTED I DID RECEIVED THE CALL FROM ANYONE NEITHER I DID THE ANY TRANSECTION I DID NOT SHARE OTP AS WELL BALANCE TRANSFORMED FROM MY ACCOUNT TO ANOTHER ACCOUNT
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,FRAUDULENT TRANSACTION 
Online Financial Fraud,UPI Related Frauds,FINANCIAL FRUAD OF RS 
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH phonepe
BANK NAME sbi bank 
ACCOUNT NUMBER AC
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,Internet Banking Related Fraud,CALLER INFORMED THAT HE LOST  THOUGH NET BANKING 
Online and Social Media Related Crime,FakeImpersonating Profile,I saw an advertisement on instragram about fake  ecommerece website on    I show an interest to purchase some product  I paid Rs  for the product on   After the payment of Rs  I neither received any product nor he return my money
Online Financial Fraud,UPI Related Frauds,Amount Debited fraudulently from my different  bank accounts and paytm
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Ones transaction has been occurred at that time I was in my home  I am not sharing OTP to any one But still transaction got successful At that time a am avoiding but day after tommorrow i checked the my email at that time i complained in ICICI bank and register my complain here with i attached for your reference
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Credit card fraud
Online Financial Fraud,Business Email CompromiseEmail Takeover,sir fb me phoenix communication weba  site par ipphone mob show kr rh th usme link diya hai usme maine click kiya  wattsapp nomner me bat kiya usne kaha ki  aapko kaon sa mob chahiye maine iphone ir  usne rat bataya maine kaha emi availble hai ya nhi usne kaha hai aapko pahke jma krna hai fir baki emi se lekin   send krne ke bad usne dusra demand kiyabki aapko  dena hoga maine  send kiya fir uske bad usne next day muje  send krne ko kaha mainesend kiya  uske bad usko  demand suru ho gya hai sir mai usse  send liya lekin mera order nhi aaya or cancle krn par bi mna kar rh hai sir plz help me
